CustomerId,CustomerKey,LocationId
AW00011000,11000,294
AW00011001,11001,298
AW00011002,11002,248
AW00011003,11003,163
AW00011004,11004,305
AW00011005,11005,195
AW00011006,11006,1
AW00011007,11007,11
AW00011008,11008,70
AW00011009,11009,29
AW00011010,11010,195
AW00011011,11011,195
AW00011012,11012,60
AW00011013,11013,42
AW00011014,11014,275
AW00011015,11015,334
AW00011016,11016,47
AW00011017,11017,30
AW00011018,11018,70
AW00011019,11019,80
AW00011020,11020,145
AW00011021,11021,17
AW00011022,11022,67
AW00011023,11023,15
AW00011024,11024,133
AW00011025,11025,233
AW00011026,11026,140
AW00011027,11027,11
AW00011028,11028,58
AW00011029,11029,70
AW00011030,11030,22
AW00011031,11031,1
AW00011032,11032,332
AW00011033,11033,187
AW00011034,11034,184
AW00011035,11035,88
AW00011036,11036,216
AW00011037,11037,258
AW00011038,11038,221
AW00011039,11039,305
AW00011040,11040,71
AW00011041,11041,53
AW00011042,11042,267
AW00011043,11043,53
AW00011044,11044,29
AW00011045,11045,1
AW00011046,11046,221
AW00011047,11047,234
AW00011048,11048,30
AW00011049,11049,151
AW00011050,11050,248
AW00011051,11051,148
AW00011052,11052,1
AW00011053,11053,284
AW00011054,11054,234
AW00011055,11055,195
AW00011056,11056,179
AW00011057,11057,276
AW00011058,11058,328
AW00011059,11059,127
AW00011060,11060,11
AW00011061,11061,103
AW00011062,11062,295
AW00011063,11063,275
AW00011064,11064,309
AW00011065,11065,231
AW00011066,11066,42
AW00011067,11067,96
AW00011068,11068,11
AW00011069,11069,103
AW00011070,11070,30
AW00011071,11071,233
AW00011072,11072,58
AW00011073,11073,323
AW00011074,11074,22
AW00011075,11075,70
AW00011076,11076,305
AW00011077,11077,320
AW00011078,11078,258
AW00011079,11079,234
AW00011080,11080,73
AW00011081,11081,133
AW00011082,11082,153
AW00011083,11083,235
AW00011084,11084,42
AW00011085,11085,246
AW00011086,11086,190
AW00011087,11087,151
AW00011088,11088,284
AW00011089,11089,107
AW00011090,11090,267
AW00011091,11091,244
AW00011092,11092,195
AW00011093,11093,305
AW00011094,11094,88
AW00011095,11095,321
AW00011096,11096,184
AW00011097,11097,11
AW00011098,11098,285
AW00011099,11099,321
AW00011100,11100,22
AW00011101,11101,88
AW00011102,11102,256
AW00011103,11103,310
AW00011104,11104,103
AW00011105,11105,1
AW00011106,11106,11
AW00011107,11107,58
AW00011108,11108,321
AW00011109,11109,208
AW00011110,11110,310
AW00011111,11111,234
AW00011112,11112,29
AW00011113,11113,73
AW00011114,11114,285
AW00011115,11115,58
AW00011116,11116,256
AW00011117,11117,1
AW00011118,11118,221
AW00011119,11119,321
AW00011120,11120,256
AW00011121,11121,179
AW00011122,11122,184
AW00011123,11123,30
AW00011124,11124,11
AW00011125,11125,298
AW00011126,11126,163
AW00011127,11127,166
AW00011128,11128,260
AW00011129,11129,136
AW00011130,11130,42
AW00011131,11131,244
AW00011132,11132,2
AW00011133,11133,57
AW00011134,11134,73
AW00011135,11135,106
AW00011136,11136,145
AW00011137,11137,114
AW00011138,11138,53
AW00011139,11139,22
AW00011140,11140,334
AW00011141,11141,115
AW00011142,11142,2
AW00011143,11143,186
AW00011144,11144,301
AW00011145,11145,17
AW00011146,11146,1
AW00011147,11147,11
AW00011148,11148,195
AW00011149,11149,29
AW00011150,11150,30
AW00011151,11151,256
AW00011152,11152,162
AW00011153,11153,260
AW00011154,11154,247
AW00011155,11155,334
AW00011156,11156,186
AW00011157,11157,71
AW00011158,11158,166
AW00011159,11159,75
AW00011160,11160,133
AW00011161,11161,133
AW00011162,11162,231
AW00011163,11163,289
AW00011164,11164,81
AW00011165,11165,224
AW00011166,11166,138
AW00011167,11167,122
AW00011168,11168,224
AW00011169,11169,62
AW00011170,11170,210
AW00011171,11171,75
AW00011172,11172,271
AW00011173,11173,196
AW00011174,11174,267
AW00011175,11175,90
AW00011176,11176,244
AW00011177,11177,284
AW00011178,11178,186
AW00011179,11179,90
AW00011180,11180,151
AW00011181,11181,267
AW00011182,11182,136
AW00011183,11183,249
AW00011184,11184,133
AW00011185,11185,145
AW00011186,11186,205
AW00011187,11187,210
AW00011188,11188,166
AW00011189,11189,67
AW00011190,11190,90
AW00011191,11191,236
AW00011192,11192,177
AW00011193,11193,247
AW00011194,11194,205
AW00011195,11195,260
AW00011196,11196,17
AW00011197,11197,177
AW00011198,11198,249
AW00011199,11199,106
AW00011200,11200,324
AW00011201,11201,190
AW00011202,11202,186
AW00011203,11203,240
AW00011204,11204,17
AW00011205,11205,210
AW00011206,11206,271
AW00011207,11207,260
AW00011208,11208,53
AW00011209,11209,235
AW00011210,11210,219
AW00011211,11211,244
AW00011212,11212,145
AW00011213,11213,277
AW00011214,11214,211
AW00011215,11215,82
AW00011216,11216,295
AW00011217,11217,295
AW00011218,11218,71
AW00011219,11219,247
AW00011220,11220,236
AW00011221,11221,186
AW00011222,11222,190
AW00011223,11223,80
AW00011224,11224,210
AW00011225,11225,260
AW00011226,11226,196
AW00011227,11227,236
AW00011228,11228,326
AW00011229,11229,20
AW00011230,11230,190
AW00011231,11231,60
AW00011232,11232,322
AW00011233,11233,203
AW00011234,11234,107
AW00011235,11235,301
AW00011236,11236,67
AW00011237,11237,23
AW00011238,11238,296
AW00011239,11239,21
AW00011240,11240,299
AW00011241,11241,110
AW00011242,11242,63
AW00011243,11243,83
AW00011244,11244,64
AW00011245,11245,297
AW00011246,11246,282
AW00011247,11247,131
AW00011248,11248,118
AW00011249,11249,290
AW00011250,11250,237
AW00011251,11251,244
AW00011252,11252,3
AW00011253,11253,324
AW00011254,11254,210
AW00011255,11255,210
AW00011256,11256,271
AW00011257,11257,246
AW00011258,11258,205
AW00011259,11259,274
AW00011260,11260,106
AW00011261,11261,284
AW00011262,11262,240
AW00011263,11263,210
AW00011264,11264,122
AW00011265,11265,104
AW00011266,11266,96
AW00011267,11267,106
AW00011268,11268,62
AW00011269,11269,115
AW00011270,11270,186
AW00011271,11271,134
AW00011272,11272,90
AW00011273,11273,231
AW00011274,11274,67
AW00011275,11275,236
AW00011276,11276,258
AW00011277,11277,82
AW00011278,11278,277
AW00011279,11279,322
AW00011280,11280,271
AW00011281,11281,334
AW00011282,11282,210
AW00011283,11283,203
AW00011284,11284,151
AW00011285,11285,153
AW00011286,11286,81
AW00011287,11287,258
AW00011288,11288,334
AW00011289,11289,309
AW00011290,11290,186
AW00011291,11291,3
AW00011292,11292,166
AW00011293,11293,96
AW00011294,11294,122
AW00011295,11295,133
AW00011296,11296,322
AW00011297,11297,334
AW00011298,11298,151
AW00011299,11299,334
AW00011300,11300,86
AW00011301,11301,301
AW00011302,11302,117
AW00011303,11303,277
AW00011304,11304,295
AW00011305,11305,151
AW00011306,11306,62
AW00011307,11307,115
AW00011308,11308,4
AW00011309,11309,17
AW00011310,11310,134
AW00011311,11311,271
AW00011312,11312,271
AW00011313,11313,96
AW00011314,11314,122
AW00011315,11315,96
AW00011316,11316,2
AW00011317,11317,274
AW00011318,11318,277
AW00011319,11319,224
AW00011320,11320,53
AW00011321,11321,210
AW00011322,11322,60
AW00011323,11323,115
AW00011324,11324,53
AW00011325,11325,177
AW00011326,11326,90
AW00011327,11327,334
AW00011328,11328,329
AW00011329,11329,133
AW00011330,11330,312
AW00011331,11331,335
AW00011332,11332,331
AW00011332,11332,97
AW00011333,11333,108
AW00011334,11334,45
AW00011335,11335,308
AW00011336,11336,286
AW00011337,11337,299
AW00011338,11338,251
AW00011338,11338,243
AW00011339,11339,164
AW00011340,11340,77
AW00011341,11341,315
AW00011342,11342,69
AW00011343,11343,85
AW00011344,11344,333
AW00011345,11345,27
AW00011346,11346,154
AW00011347,11347,228
AW00011348,11348,18
AW00011349,11349,314
AW00011349,11349,264
AW00011349,11349,217
AW00011350,11350,327
AW00011351,11351,84
AW00011352,11352,91
AW00011353,11353,218
AW00011354,11354,259
AW00011355,11355,159
AW00011356,11356,221
AW00011357,11357,148
AW00011358,11358,306
AW00011359,11359,245
AW00011360,11360,294
AW00011361,11361,179
AW00011362,11362,88
AW00011363,11363,332
AW00011364,11364,234
AW00011365,11365,328
AW00011366,11366,298
AW00011367,11367,184
AW00011368,11368,294
AW00011369,11369,328
AW00011370,11370,208
AW00011371,11371,294
AW00011372,11372,170
AW00011373,11373,325
AW00011374,11374,241
AW00011375,11375,16
AW00011376,11376,5
AW00011377,11377,23
AW00011378,11378,105
AW00011379,11379,99
AW00011380,11380,160
AW00011381,11381,21
AW00011382,11382,182
AW00011383,11383,55
AW00011384,11384,110
AW00011385,11385,13
AW00011386,11386,250
AW00011387,11387,98
AW00011388,11388,13
AW00011389,11389,317
AW00011390,11390,141
AW00011391,11391,325
AW00011392,11392,41
AW00011393,11393,79
AW00011394,11394,207
AW00011395,11395,199
AW00011396,11396,160
AW00011397,11397,330
AW00011398,11398,108
AW00011399,11399,164
AW00011400,11400,212
AW00011401,11401,286
AW00011402,11402,9
AW00011403,11403,197
AW00011404,11404,257
AW00011405,11405,251
AW00011405,11405,243
AW00011406,11406,191
AW00011407,11407,112
AW00011408,11408,173
AW00011409,11409,141
AW00011410,11410,24
AW00011411,11411,6
AW00011412,11412,6
AW00011413,11413,98
AW00011414,11414,336
AW00011415,11415,250
AW00011416,11416,279
AW00011417,11417,91
AW00011418,11418,188
AW00011419,11419,299
AW00011420,11420,182
AW00011421,11421,149
AW00011422,11422,5
AW00011423,11423,282
AW00011424,11424,287
AW00011424,11424,119
AW00011425,11425,105
AW00011426,11426,228
AW00011427,11427,291
AW00011428,11428,292
AW00011429,11429,143
AW00011430,11430,268
AW00011431,11431,308
AW00011432,11432,55
AW00011433,11433,27
AW00011434,11434,311
AW00011435,11435,291
AW00011436,11436,299
AW00011437,11437,135
AW00011438,11438,241
AW00011439,11439,300
AW00011440,11440,178
AW00011441,11441,77
AW00011442,11442,27
AW00011443,11443,248
AW00011444,11444,70
AW00011445,11445,229
AW00011446,11446,276
AW00011447,11447,29
AW00011448,11448,332
AW00011449,11449,298
AW00011450,11450,22
AW00011451,11451,179
AW00011452,11452,148
AW00011453,11453,248
AW00011454,11454,332
AW00011455,11455,320
AW00011456,11456,58
AW00011457,11457,305
AW00011458,11458,323
AW00011459,11459,321
AW00011460,11460,88
AW00011461,11461,221
AW00011462,11462,1
AW00011463,11463,22
AW00011464,11464,208
AW00011465,11465,103
AW00011466,11466,221
AW00011467,11467,58
AW00011468,11468,128
AW00011469,11469,128
AW00011470,11470,206
AW00011471,11471,137
AW00011472,11472,233
AW00011473,11473,28
AW00011474,11474,327
AW00011475,11475,212
AW00011476,11476,336
AW00011477,11477,250
AW00011478,11478,143
AW00011479,11479,79
AW00011480,11480,27
AW00011481,11481,228
AW00011482,11482,123
AW00011483,11483,191
AW00011484,11484,209
AW00011485,11485,83
AW00011486,11486,113
AW00011487,11487,222
AW00011488,11488,307
AW00011489,11489,333
AW00011490,11490,300
AW00011491,11491,313
AW00011492,11492,124
AW00011493,11493,313
AW00011494,11494,64
AW00011495,11495,251
AW00011495,11495,243
AW00011496,11496,123
AW00011497,11497,108
AW00011498,11498,258
AW00011499,11499,133
AW00011500,11500,80
AW00011501,11501,258
AW00011502,11502,335
AW00011503,11503,62
AW00011504,11504,309
AW00011505,11505,213
AW00011506,11506,240
AW00011507,11507,324
AW00011508,11508,271
AW00011509,11509,152
AW00011510,11510,86
AW00011511,11511,42
AW00011512,11512,312
AW00011513,11513,82
AW00011514,11514,71
AW00011515,11515,334
AW00011516,11516,236
AW00011517,11517,20
AW00011518,11518,211
AW00011519,11519,258
AW00011520,11520,240
AW00011521,11521,165
AW00011522,11522,4
AW00011523,11523,86
AW00011524,11524,81
AW00011525,11525,42
AW00011526,11526,302
AW00011527,11527,166
AW00011528,11528,53
AW00011529,11529,295
AW00011530,11530,86
AW00011531,11531,90
AW00011532,11532,275
AW00011533,11533,76
AW00011534,11534,107
AW00011535,11535,42
AW00011536,11536,153
AW00011537,11537,236
AW00011538,11538,205
AW00011539,11539,133
AW00011540,11540,62
AW00011541,11541,295
AW00011542,11542,128
AW00011543,11543,24
AW00011544,11544,250
AW00011545,11545,253
AW00011546,11546,182
AW00011547,11547,24
AW00011548,11548,25
AW00011549,11549,173
AW00011550,11550,92
AW00011551,11551,230
AW00011552,11552,325
AW00011553,11553,183
AW00011554,11554,27
AW00011555,11555,83
AW00011556,11556,218
AW00011557,11557,128
AW00011558,11558,237
AW00011559,11559,23
AW00011560,11560,125
AW00011561,11561,314
AW00011561,11561,264
AW00011561,11561,217
AW00011562,11562,194
AW00011563,11563,33
AW00011564,11564,100
AW00011565,11565,254
AW00011566,11566,272
AW00011567,11567,331
AW00011567,11567,97
AW00011568,11568,315
AW00011569,11569,311
AW00011570,11570,129
AW00011571,11571,9
AW00011572,11572,222
AW00011573,11573,237
AW00011574,11574,311
AW00011575,11575,126
AW00011576,11576,279
AW00011577,11577,109
AW00011578,11578,91
AW00011579,11579,123
AW00011580,11580,25
AW00011581,11581,43
AW00011582,11582,91
AW00011583,11583,137
AW00011584,11584,209
AW00011585,11585,200
AW00011586,11586,128
AW00011587,11587,105
AW00011588,11588,118
AW00011589,11589,173
AW00011590,11590,28
AW00011591,11591,63
AW00011592,11592,93
AW00011593,11593,9
AW00011594,11594,31
AW00011595,11595,113
AW00011596,11596,64
AW00011597,11597,26
AW00011598,11598,132
AW00011599,11599,110
AW00011600,11600,143
AW00011601,11601,63
AW00011602,11602,325
AW00011603,11603,7
AW00011604,11604,159
AW00011605,11605,144
AW00011606,11606,158
AW00011607,11607,164
AW00011608,11608,300
AW00011609,11609,49
AW00011610,11610,45
AW00011611,11611,9
AW00011612,11612,25
AW00011613,11613,194
AW00011614,11614,149
AW00011615,11615,131
AW00011616,11616,225
AW00011617,11617,150
AW00011618,11618,258
AW00011619,11619,324
AW00011620,11620,67
AW00011621,11621,60
AW00011622,11622,104
AW00011623,11623,153
AW00011624,11624,51
AW00011625,11625,205
AW00011626,11626,134
AW00011627,11627,289
AW00011628,11628,15
AW00011629,11629,246
AW00011630,11630,177
AW00011631,11631,80
AW00011632,11632,2
AW00011633,11633,210
AW00011634,11634,162
AW00011635,11635,90
AW00011636,11636,115
AW00011637,11637,267
AW00011638,11638,51
AW00011639,11639,51
AW00011640,11640,2
AW00011641,11641,258
AW00011642,11642,312
AW00011643,11643,210
AW00011644,11644,275
AW00011645,11645,274
AW00011646,11646,210
AW00011647,11647,258
AW00011648,11648,151
AW00011649,11649,246
AW00011650,11650,53
AW00011651,11651,258
AW00011652,11652,303
AW00011653,11653,42
AW00011654,11654,15
AW00011655,11655,133
AW00011656,11656,47
AW00011657,11657,152
AW00011658,11658,224
AW00011659,11659,304
AW00011660,11660,240
AW00011661,11661,258
AW00011662,11662,211
AW00011663,11663,165
AW00011664,11664,106
AW00011665,11665,151
AW00011666,11666,81
AW00011667,11667,165
AW00011668,11668,90
AW00011669,11669,71
AW00011670,11670,150
AW00011671,11671,326
AW00011672,11672,90
AW00011673,11673,210
AW00011674,11674,75
AW00011675,11675,322
AW00011676,11676,174
AW00011677,11677,244
AW00011678,11678,273
AW00011679,11679,162
AW00011680,11680,275
AW00011681,11681,114
AW00011682,11682,71
AW00011683,11683,326
AW00011684,11684,275
AW00011685,11685,211
AW00011686,11686,53
AW00011687,11687,231
AW00011688,11688,136
AW00011689,11689,277
AW00011690,11690,96
AW00011691,11691,47
AW00011692,11692,334
AW00011693,11693,244
AW00011694,11694,236
AW00011695,11695,90
AW00011696,11696,71
AW00011697,11697,224
AW00011698,11698,145
AW00011699,11699,165
AW00011700,11700,75
AW00011701,11701,152
AW00011702,11702,106
AW00011703,11703,231
AW00011704,11704,249
AW00011705,11705,75
AW00011706,11706,106
AW00011707,11707,75
AW00011708,11708,235
AW00011709,11709,324
AW00011710,11710,231
AW00011711,11711,86
AW00011712,11712,244
AW00011713,11713,104
AW00011714,11714,284
AW00011715,11715,166
AW00011716,11716,115
AW00011717,11717,117
AW00011718,11718,4
AW00011719,11719,258
AW00011720,11720,284
AW00011721,11721,235
AW00011722,11722,67
AW00011723,11723,32
AW00011724,11724,220
AW00011725,11725,210
AW00011726,11726,210
AW00011727,11727,216
AW00011728,11728,247
AW00011729,11729,104
AW00011730,11730,275
AW00011731,11731,106
AW00011732,11732,65
AW00011733,11733,133
AW00011734,11734,62
AW00011735,11735,271
AW00011736,11736,153
AW00011737,11737,20
AW00011738,11738,312
AW00011739,11739,220
AW00011740,11740,303
AW00011741,11741,151
AW00011742,11742,20
AW00011743,11743,289
AW00011744,11744,289
AW00011745,11745,165
AW00011746,11746,71
AW00011747,11747,277
AW00011748,11748,324
AW00011749,11749,306
AW00011750,11750,179
AW00011751,11751,320
AW00011752,11752,140
AW00011753,11753,306
AW00011754,11754,245
AW00011755,11755,29
AW00011756,11756,58
AW00011757,11757,88
AW00011758,11758,310
AW00011759,11759,22
AW00011760,11760,328
AW00011761,11761,248
AW00011762,11762,305
AW00011763,11763,323
AW00011764,11764,179
AW00011765,11765,163
AW00011766,11766,208
AW00011767,11767,233
AW00011768,11768,73
AW00011769,11769,329
AW00011770,11770,301
AW00011771,11771,54
AW00011772,11772,71
AW00011773,11773,326
AW00011774,11774,216
AW00011775,11775,205
AW00011776,11776,249
AW00011777,11777,106
AW00011778,11778,136
AW00011779,11779,247
AW00011780,11780,277
AW00011781,11781,115
AW00011782,11782,334
AW00011783,11783,284
AW00011784,11784,145
AW00011785,11785,301
AW00011786,11786,275
AW00011787,11787,334
AW00011788,11788,267
AW00011789,11789,216
AW00011790,11790,151
AW00011791,11791,114
AW00011792,11792,236
AW00011793,11793,334
AW00011794,11794,186
AW00011795,11795,309
AW00011796,11796,309
AW00011797,11797,224
AW00011798,11798,60
AW00011799,11799,210
AW00011800,11800,17
AW00011801,11801,17
AW00011802,11802,312
AW00011803,11803,138
AW00011804,11804,275
AW00011805,11805,90
AW00011806,11806,106
AW00011807,11807,216
AW00011808,11808,86
AW00011809,11809,90
AW00011810,11810,60
AW00011811,11811,236
AW00011812,11812,165
AW00011813,11813,196
AW00011814,11814,57
AW00011815,11815,71
AW00011816,11816,90
AW00011817,11817,236
AW00011818,11818,62
AW00011819,11819,322
AW00011820,11820,324
AW00011821,11821,90
AW00011822,11822,235
AW00011823,11823,145
AW00011824,11824,329
AW00011825,11825,15
AW00011826,11826,90
AW00011827,11827,329
AW00011828,11828,211
AW00011829,11829,177
AW00011830,11830,235
AW00011831,11831,198
AW00011832,11832,165
AW00011833,11833,312
AW00011834,11834,51
AW00011835,11835,145
AW00011836,11836,322
AW00011837,11837,134
AW00011838,11838,17
AW00011839,11839,190
AW00011840,11840,235
AW00011841,11841,80
AW00011842,11842,138
AW00011843,11843,17
AW00011844,11844,151
AW00011845,11845,335
AW00011846,11846,107
AW00011847,11847,295
AW00011848,11848,68
AW00011849,11849,231
AW00011850,11850,152
AW00011851,11851,133
AW00011852,11852,186
AW00011853,11853,133
AW00011854,11854,219
AW00011855,11855,106
AW00011856,11856,117
AW00011857,11857,277
AW00011858,11858,166
AW00011859,11859,138
AW00011860,11860,216
AW00011861,11861,171
AW00011862,11862,322
AW00011863,11863,136
AW00011864,11864,71
AW00011865,11865,216
AW00011866,11866,53
AW00011867,11867,216
AW00011868,11868,303
AW00011869,11869,171
AW00011870,11870,210
AW00011871,11871,271
AW00011872,11872,53
