LocationId,LocationCity,StateProvince,CountryId,LocationZip
1,Matraville,New South Wales,5,2036
2,Langford,British Columbia,4,V9
3,Lemon Grove,California,3,91945
4,Oregon City,Oregon,3,97045
5,Liverpool,England,6,L4 4HB
6,Ingolstadt,Bayern,1,85049
7,London,England,6,C2H 7AU
8,Clackamas,Oregon,3,97015-6403
9,Orleans,Loiret,2,45000
10,Bell Gardens,California,3,90201
11,Warrnambool,Victoria,5,3280
12,Berlin,Saarland,1,12171
13,York,England,6,YO15
14,Byron,Georgia,3,31008
15,Bellflower,California,3,90706
16,High Wycombe,England,6,HP10 9QY
17,Beaverton,Oregon,3,97005
18,Paderborn,Hamburg,1,33041
19,Newton,British Columbia,4,V2M1P1
20,Redwood City,California,3,94063
21,London,England,6,SW1P 2NU
22,Cloverdale,South Australia,5,6105
23,Solingen,Nordrhein-Westfalen,1,42651
24,Paris,Seine (Paris),2,75013
25,Berkshire,England,6,RG11 5TP
26,Orly,Val de Marne,2,94310
27,Tremblay-en-France,Seine Saint Denis,2,93290
28,Drancy,Seine Saint Denis,2,93700
29,Hervey Bay,Queensland,5,4655
30,Sunbury,Victoria,5,3429
31,Verrieres Le Buisson,Essonne,2,91370
32,Shawnee,British Columbia,4,V9B 2C3
33,London,England,6,SE1 8HL
34,Colomiers,Garonne (Haute),2,31770
35,Clearwater,Florida,3,33755
36,Berlin,Hessen,1,14111
37,Lieusaint,Seine et Marne,2,77127
38,Bluffton,South Carolina,3,29910
39,Charlotte,North Carolina,3,28202
40,Chehalis,Washington,3,98532
41,Frankfurt,Hessen,1,60323
42,Lebanon,Oregon,3,97355
43,Paris,Seine (Paris),2,75003
44,Braintree,Massachusetts,3,2184
45,Stoke-on-Trent,England,6,AS23
46,M�nchen,Saarland,1,48001
47,Imperial Beach,California,3,91932
48,Chantilly,Virginia,3,20151
49,York,England,6,Y024 1GF
50,Bothell,Washington,3,98011
51,Mill Valley,California,3,94941
52,Maidenhead,England,6,SL67RJ
53,Glendale,California,3,91203
54,Marysville,Washington,3,98270
55,Roissy en Brie,Seine et Marne,2,77680
56,Newton,British Columbia,4,V2M1S6
57,Lake Oswego,Oregon,3,97034
58,St. Leonards,New South Wales,5,2065
59,Calgary,Alberta,4,T2P 2G8
60,Bremerton,Washington,3,98312
61,Carrollton,Texas,3,75006
62,Coronado,California,3,92118
63,Versailles,Yveline,2,78000
64,Runcorn,England,6,TY31
65,Cincinnati,Ohio,3,45202
66,Frankfurt am Main,Saarland,1,60061
67,Bellingham,Washington,3,98225
68,Yakima,Washington,3,98901
69,Boulogne-sur-Mer,Pas de Calais,2,62200
70,Bendigo,Victoria,5,3550
71,Tacoma,Washington,3,98403
72,Paris,Seine (Paris),2,75017
73,Perth,South Australia,5,6006
74,Camarillo,California,3,93010
75,Woodland Hills,California,3,91364
76,Birmingham,Alabama,3,35203
77,Paris,Seine (Paris),2,75002
78,Bury,England,6,PE17
79,Saint Ouen,Loir et Cher,2,41100
80,Langley,British Columbia,4,V3A 4R2
81,Torrance,California,3,90505
82,Royal Oak,British Columbia,4,V8X
83,Esher-Molesey,England,6,EM15
84,London,England,6,W10 6BL
85,Oxon,England,6,OX16 8RS
86,N. Vancouver,British Columbia,4,V7L 4J4
87,Casper,Wyoming,3,82601
88,Cranbourne,Victoria,5,3977
89,Newton,British Columbia,4,V2M1N7
90,Beverly Hills,California,3,90210
91,Pantin,Seine Saint Denis,2,93500
92,Oxford,England,6,OX14 4SE
93,Paris,Seine (Paris),2,75009
94,London,England,6,EC1R 0DU
95,London,England,6,E17 6JF
96,Port Orchard,Washington,3,98366
97,Berlin,Nordrhein-Westfalen,1,14197
98,Gateshead,England,6,GA10
99,Boulogne-Billancourt,Hauts de Seine,2,92100
100,Frankfurt am Main,Hamburg,1,60355
101,Chalk Riber,Ontario,4,K0J 1J0
102,Citrus Heights,California,3,95610
103,Gold Coast,Queensland,5,4217
104,Kirkland,Washington,3,98033
105,Metz,Moselle,2,57000
106,Burlingame,California,3,94010
107,Long Beach,California,3,90802
108,Newcastle upon Tyne,England,6,NT20
109,Paris,Seine (Paris),2,75005
110,Les Ulis,Essonne,2,91940
111,Berlin,Hessen,1,14129
112,M�nster,Saarland,1,48001
113,Erlangen,Bayern,1,91054
114,Spokane,Washington,3,99202
115,Daly City,California,3,94015
116,Burbank,Ohio,3,44214
117,Corvallis,Oregon,3,97330
118,Saint-Denis,Seine Saint Denis,2,93400
119,Berlin,Hamburg,1,12311
120,Roncq,Nord,2,59223
121,Hannover,Nordrhein-Westfalen,1,30601
122,Issaquah,Washington,3,98027
123,Warrington,England,6,WA3 7BH
124,Eilenburg,Brandenburg,1,4838
125,London,England,6,SW19 3RU
126,Leeds,England,6,LE18
127,Townsville,Queensland,5,4810
128,York,England,6,Y03 4TN
129,Berlin,Hessen,1,13441
130,Cedar Park,Texas,3,78613
131,Lancaster,England,6,LA1 1LN
132,Saarbr�cken,Saarland,1,66001
133,Concord,California,3,94519
134,San Francisco,California,3,94109
135,Villeneuve-d'Ascq,Nord,2,59491
136,Sedro Woolley,Washington,3,98284
137,Chatou,Yveline,2,78400
138,Olympia,Washington,3,98501
139,Central Valley,New York,3,10917
140,Goulburn,New South Wales,5,2580
141,Saint Germain en Laye,Yveline,2,78100
142,Frankfurt am Main,Saarland,1,60075
143,S�vres,Hauts de Seine,2,92310
144,Stuttgart,Saarland,1,70452
